INFO 2023-10-03 21:51:52,662 autoreload Watching for file changes with StatReloader
DEBUG 2023-10-03 21:51:52,663 autoreload Waiting for apps ready_event.
DEBUG 2023-10-03 21:51:52,732 autoreload Apps ready_event triggered. Sending autoreload_started signal.
DEBUG 2023-10-03 21:51:52,745 autoreload Watching dir C:\Users\alecb\education_project\templates with glob **/*.
DEBUG 2023-10-03 21:51:52,745 autoreload Watching dir C:\Users\alecb\education_project\students\templates with glob **/*.
DEBUG 2023-10-03 21:51:52,746 autoreload Watching dir C:\Users\alecb\education_project\users\templates with glob **/*.
DEBUG 2023-10-03 21:51:52,746 autoreload Watching dir C:\Users\alecb\education_project\teachers\templates with glob **/*.
DEBUG 2023-10-03 21:51:52,747 autoreload Watching dir C:\Users\alecb\education_project\courses\templates with glob **/*.
DEBUG 2023-10-03 21:51:52,747 autoreload Watching dir C:\Users\alecb\education_project\locale with glob **/*.mo.
DEBUG 2023-10-03 21:51:52,748 autoreload Watching dir C:\Users\alecb\education_project\teachers\locale with glob **/*.mo.
DEBUG 2023-10-03 21:51:52,748 autoreload Watching dir C:\Users\alecb\education_project\users\locale with glob **/*.mo.
DEBUG 2023-10-03 21:51:52,748 autoreload Watching dir C:\Users\alecb\education_project\students\locale with glob **/*.mo.
DEBUG 2023-10-03 21:51:52,748 autoreload Watching dir C:\Users\alecb\education_project\courses\locale with glob **/*.mo.
DEBUG 2023-10-03 21:51:52,906 utils (0.000) 
            SELECT name, type FROM sqlite_master
            WHERE type in ('table', 'view') AND NOT name='sqlite_sequence'
            ORDER BY name; args=None; alias=default
DEBUG 2023-10-03 21:51:52,910 utils (0.000) SELECT "django_migrations"."id", "django_migrations"."app", "django_migrations"."name", "django_migrations"."applied" FROM "django_migrations"; args=(); alias=default
DEBUG 2023-10-03 21:51:53,164 autoreload File C:\Program Files\WindowsApps\PythonSoftwareFoundation.Python.3.11_3.11.1520.0_x64__qbz5n2kfra8p0\Lib\quopri.py first seen with mtime 1694630746.5293336
DEBUG 2023-10-03 21:51:53,164 autoreload File C:\Users\alecb\.virtualenvs\alecb-IuTAPro5\Lib\site-packages\django\utils\decorators.py first seen with mtime 1696004250.859683
DEBUG 2023-10-03 21:51:53,164 autoreload File C:\Program Files\WindowsApps\PythonSoftwareFoundation.Python.3.11_3.11.1520.0_x64__qbz5n2kfra8p0\DLLs\_bz2.pyd first seen with mtime 1694630744.0359182
DEBUG 2023-10-03 21:51:53,165 autoreload File C:\Program Files\WindowsApps\PythonSoftwareFoundation.Python.3.11_3.11.1520.0_x64__qbz5n2kfra8p0\Lib\asyncio\queues.py first seen with mtime 1694630744.867097
DEBUG 2023-10-03 21:51:53,165 autoreload File C:\Users\alecb\.virtualenvs\alecb-IuTAPro5\Lib\site-packages\django\utils\lorem_ipsum.py first seen with mtime 1696004250.880486
DEBUG 2023-10-03 21:51:53,165 autoreload File C:\Users\alecb\.virtualenvs\alecb-IuTAPro5\Lib\site-packages\sqlparse\filters\right_margin.py first seen with mtime 1696004245.3807344
DEBUG 2023-10-03 21:51:53,165 autoreload File C:\Users\alecb\.virtualenvs\alecb-IuTAPro5\Lib\site-packages\django\contrib\auth\decorators.py first seen with mtime 1696004247.078214
DEBUG 2023-10-03 21:51:53,165 autoreload File C:\Program Files\WindowsApps\PythonSoftwareFoundation.Python.3.11_3.11.1520.0_x64__qbz5n2kfra8p0\Lib\asyncio\constants.py first seen with mtime 1694630744.8514698
DEBUG 2023-10-03 21:51:53,166 autoreload File C:\Users\alecb\.virtualenvs\alecb-IuTAPro5\Lib\site-packages\django\db\migrations\operations\base.py first seen with mtime 1696004250.5727625
DEBUG 2023-10-03 21:51:53,166 autoreload File C:\Program Files\WindowsApps\PythonSoftwareFoundation.Python.3.11_3.11.1520.0_x64__qbz5n2kfra8p0\Lib\textwrap.py first seen with mtime 1694630748.8338683
